utterance,category
wanna swap some items of purchase 732201349959,ORDER
want help tryign to change my address,SHIPPING_ADDRESS
assistance seeing what methods for delivery i have,DELIVERY
where can I cancel purchase 370795561790 ?,ORDER
there is a problem changing the shipping address,SHIPPING_ADDRESS
can you  help me to check my compensation current status?,REFUND
can i check the bloody status of order 732201349959,ORDER
I'm trying to find information about damn shipping periods,DELIVERY
assiwtance entering a different delivery address,SHIPPING_ADDRESS
what do I have ti do to request a refund of money?,REFUND
where do i place an order,ORDER
i do not know what to do to make a customer reclamation,FEEDBACK
help with cacnelling a purchase,ORDER
I don't know what I have to do to cancel purchase 00123842,ORDER
i missed some items in order 370795561790,ORDER
I need ot see your reimbursement policy,REFUND
could i check how long it takes for my purchase to arrive,DELIVERY
I would like to see the early exit charfge,CANCELLATION_FEE
nees help asking for a fucking rebate,REFUND
i have a problem updating my fucking shipping address,SHIPPING_ADDRESS
i have to check in what cases can i ask to be refunded,REFUND
"I have got to check my damn rebate current status , help me",REFUND
purchase several of ur articoe,ORDER
there is an error setting up my new shipping address,SHIPPING_ADDRESS
I'm trying to obtain a bloody rebate of money,REFUND
need supports modifying the fucking delivery address,SHIPPING_ADDRESS
i need help to shop a damn article,ORDER
ohw could I cancel purchase 732201349959?,ORDER
i do not know how to cancl the last fucking purchase,ORDER
wanna enter the new shipping address how could i do it,SHIPPING_ADDRESS
where do i check purchase 370795561790 current  status,ORDER
i dont know what to do to request refunds of money,REFUND
wanna write a comment for a product could i get some help,FEEDBACK
i have to shop some bloody items,ORDER
how to check the status of the refund,REFUND
i cant find anything about the damn termination fees,CANCELLATION_FEE
i dont know how i can submit my new delivery address,SHIPPING_ADDRESS
can i remove serveral items from order 732201349959,ORDER
need to check the fucking termination fee how could i do it,CANCELLATION_FEE
wanna leave a comment for a service could i get some help,FEEDBACK
asisstance to notify of a goddamn payment issue,PAYMENT
will utell me what payment methods are accepted,PAYMENT
help me to see in which cases can i ask for a reimbursement,REFUND
need help to see the goddamn shipment methods,DELIVERY
how do I set up a secondary sipping address?,SHIPPING_ADDRESS
hel making a claim,FEEDBACK
i paid $299 for an order assistance to get my money back,REFUND
i want assistance demandung a damn reimbursement of money,REFUND
I am tryingto check how soon can I expect the order,DELIVERY
i dont know what to do to report an error with payment,PAYMENT
will ushow me when ym product is gonna arrive,DELIVERY
where to demand a compensation,REFUND
can uhelp me leaving a review for ur services,FEEDBACK
need assistance ordering some products,ORDER
want assisance sending damn feedback about your services,FEEDBACK
i have a trouble entering the shipping address,SHIPPING_ADDRESS
I have to check the bloody early exit fee,CANCELLATION_FEE
assistance listing ur allowed payment methods,PAYMENT
can you help me cancelling my last goddamn purcahse?,ORDER
I'm calling to chcek how soon can i expect the package,DELIVERY
wanna change some articles of purchase 00004587345 help me,ORDER
how can i submit some feedback for a service,FEEDBACK
could uhelp me submit my bloody feedback about ur services,FEEDBACK
can i add some damn items to purchase 00004587345,ORDER
i dont know what to do to get damn restitutions of my money,REFUND
"I paid $299 for this item, need help receiving my money back",REFUND
is there a section to send a comment about ur company,FEEDBACK
what do I have to do to report a problem  with payment?,PAYMENT
"I haev got to locate order 732201349959, can you help me?",ORDER
problem with cancelling a purchase I made,ORDER
can i remove some products from purchase 00123842,ORDER
i dont know how i can see how soon can i expect the article,DELIVERY
want help to see what methods for delivery I have,DELIVERY
how could i get informatiom about an address change,SHIPPING_ADDRESS
how can i see when my delivery is gona arrive,DELIVERY
help to acncel purchase 370795561790,ORDER
want assistance checkng in what cases can i ask for refunds,REFUND
i ordered some damn items i try to cancel the last purchase,ORDER
where could i acquire some fucking products,ORDER
i purchased sme product where do i cancel order 00123842,ORDER
wanna add some damn items to order 113542617735902,ORDER
wanna check what damn methods for delivery ya offer,DELIVERY
can uhelp me checking the fucking cancellation penalty,CANCELLATION_FEE
i cannot submit the goddamn secondary delivery address,SHIPPING_ADDRESS
help me to solve a payment error,PAYMENT
i have to see the status of order 00123842 coupd ya help me,ORDER
is there an e-mail toleave my feedback about a service,FEEDBACK
could i list ur available payment options,PAYMENT
do you ship to Finland?,DELIVERY
i need help seeing the rebate current status,REFUND
issues  setting up another shipping address,SHIPPING_ADDRESS
help me checking how  soon can I expect the bloody item,DELIVERY
I'm trying to see how  soon can i expect the goddamn order,DELIVERY
need assistance to leave a opinion,FEEDBACK
I would like to acquiire some of your article,ORDER
could ya help me checking the allowed payment methods,PAYMENT
I need assistance to submit hte new delivery address,SHIPPING_ADDRESS
help to see what methods for delivery ya offer,DELIVERY
what are the penalties for cancelling the contract?,CANCELLATION_FEE
I would like to buy an iten,ORDER
I need help checking the early exit fee,CANCELLATION_FEE
i have got to see ur damn allowed payment methoss,PAYMENT
need assistance seeing the termination penalties,CANCELLATION_FEE
i cannot see the damn current status of my refund,REFUND
watn assistance correcting my goddamn address,SHIPPING_ADDRESS
i try to cancel th purchase i have made,ORDER
can uhelp me checking the goddamn early exit penalty,CANCELLATION_FEE
need assistance checking the ETA of order 732201349959,ORDER
my bloody address changed i need assistance to change it,SHIPPING_ADDRESS
swqp an item of purchase 00123842,ORDER
"I have to see the early termination fee, how could I do it ?",CANCELLATION_FEE
where do i see if their is anything wrong with the rebate,REFUND
I'm trying to receive a fucking reimbursement of my money,REFUND
I'm calling to make a consumer claim against ur business,FEEDBACK
I can't update the goddamn shipping address,SHIPPING_ADDRESS
want assistance seeing the cancellation fees,CANCELLATION_FEE
how could i set the bloody secondary shipping address up,SHIPPING_ADDRESS
i have to see the compensation status how could i do it,REFUND
how do i swap several items of purchase 00004587345,ORDER
assistance seeing ur accepted payment modalities,PAYMENT
i do not know how to see the termination penalty,CANCELLATION_FEE
whee can I check if there are any news on my rebate?,REFUND
i cant make payments help me noitfy of issues,PAYMENT
how can I request a reimbursement of my money ?,REFUND
how to check the damn early temrination penalties?,CANCELLATION_FEE
can ya help me report fucking problems with payment,PAYMENT
could I change na item of order 113542617735902?,ORDER
can ushow me the bloody current status of my reimbursement,REFUND
where to check the reimbursement status?,REFUND
where can I shop a product?,ORDER
do you have an e-mail to send my feedback about a product?,FEEDBACK
I'm trying to get reimbursements,REFUND
can you help me to acquire several of your article?,ORDER
i want help knowing if there are any news on the rebate,REFUND
ya have a section to submitfeedback for ur products,FEEDBACK
how to see the damn termination fee,CANCELLATION_FEE
need to check the eta of the order 732201349959,ORDER
can ya help me cancleling order 00004587345,ORDER
I would like to check the TEA of the purchase 370795561790,ORDER
I have to request a fucking rebate,REFUND
have problems with cancelling my last bloody purchase,ORDER
how can i order some of ur itemn,ORDER
I need  to check your fucking reimbursement policy,REFUND
need to send goddamn feedback for ur company will ya help me,FEEDBACK
I want to check the  goddamn status of order 732201349959,ORDER
wanna change some products of purchase 00004587345,ORDER
i do not know how i can request a restitution of my money,REFUND
can i see purchase 113542617735902 status,ORDER
i want support editing my delivery address,SHIPPING_ADDRESS
I ned help earning some of your product,ORDER
can uhelp me seeing how long reimbursements take,REFUND
need to enter another shipping address,SHIPPING_ADDRESS
want help shopping several of ur article,ORDER
i do not know how i can report issues with online payment,PAYMENT
need to send some feedback about a product how do i do it,FEEDBACK
how can I see the fucking ETA of purchase 00004587345 ?,ORDER
my fucking delivery address changed help me modifying it,SHIPPING_ADDRESS
need help cacneling purchase 00004587345,ORDER
can uhelp me listing ur damn available payment methods,PAYMENT
can ya help me to cancel a purchase,ORDER
i dont know what i have to do to check my damn rebate status,REFUND
i need help to check how long refunds usually take,REFUND
what do i need to do to order a bloody article,ORDER
question about canceling the last order i have made,ORDER
I'd like to see ur refund policy how can i do it,REFUND
I need help to  cancel purchase 113542617735902,ORDER
need assistance checking the fucking cancellation charges,CANCELLATION_FEE
want support correcting my bloody delivery address,SHIPPING_ADDRESS
would it be possible to see what payment methods ya accept,PAYMENT
i have to check how long reimbursements take,REFUND
I want help to check your  payment modalities,PAYMENT
could you show me  what damn payment methods are accepted?,PAYMENT
where to check if there are any updates on my reimbursement,REFUND
how can i request rebates,REFUND
would it be  possible to order from Philadelphia?,DELIVERY
i have to acquire several items,ORDER
I don't know what I have to do to cancel  purchase 00123842,ORDER
i try to acquire a few of ur raticle,ORDER
I neded help with changing several items of order 00123842,ORDER
I xepect a goddamn rebate of 1499 dollars,REFUND
could you help me send my damn feedback about your compnay?,FEEDBACK
how to switch some products of order 732201349959,ORDER
need to check the termination hcarge,CANCELLATION_FEE
I'm trying to ask for damn reiumbursements,REFUND
watn help to acquire a damn article,ORDER
I don't know how I can edit the address,SHIPPING_ADDRESS
I wanr assistance asking for a bloody rebate,REFUND
i dont know how i can submit the delivery address,SHIPPING_ADDRESS
could uhelp me check the methods for delivery,DELIVERY
i want assistance to see what shipment options i have,DELIVERY
need to edit purchase 00004587345 how do i do it,ORDER
help  me checking when my goddamn order is gonna arrive,DELIVERY
I don't know what I have to do to get rebates of money,REFUND
I need help to check my fucking rebate current status,REFUND
i want help checking the fucking early termination penalty,CANCELLATION_FEE
"I paid $299 for an order, want help receiving a refund",REFUND
what are ur bloody shipping options,DELIVERY
i need help to list the available payment methods,PAYMENT
what do i have to do to order several of ur item,ORDER
where caqn I inform of a payment error?,PAYMENT
i need help checkig what shipping options are there,DELIVERY
i want assistance solving a trouble with online payment,PAYMENT
what do i have to do to modify the fucking address,SHIPPING_ADDRESS
I want to sre what shipment methods are available,DELIVERY
where to obtain compensations of my money,REFUND
i need assistance shopping a goddamn product,ORDER
need assistance to check how soon can i expect the package,DELIVERY
how do i see the eta of purchase 113542617735902,ORDER
i cannot set a bloody secondary shipping address up,SHIPPING_ADDRESS
editpurchase 00004587345,ORDER
could you help me checking the bloody shipping methods?,DELIVERY
i paid $299 for an article i need help receiving a refund,REFUND
need to see the restitution status,REFUND
i cant find the early exit fee can ya help me,CANCELLATION_FEE
where could i set my goddamn new delivery address up,SHIPPING_ADDRESS
i do not know what to do to see how long the shipment takes,DELIVERY
i have got to delete something from order 00004587345,ORDER
help me to check how long the damn refunds usually take,REFUND
i want assistance to obtain a refund of my money,REFUND
i want assistance to check the fucking withdrawal fee,CANCELLATION_FEE
I need assistance solving problems with payment,PAYMENT
want help to see the bloody eta of the purchase 00004587345,ORDER
I would like to set a different shipping address up,SHIPPING_ADDRESS
locate order 00123842,ORDER
i try to order seveal bloody articles,ORDER
i want suppports trying to change my address,SHIPPING_ADDRESS
i want help purchasing some damn articles,ORDER
need to cancel the last uprchase i have made,ORDER
could ya help me obtaining my fucking money back,REFUND
where to write a goddamn opinion for a service,FEEDBACK
i need herlp sending some damn feedback for a product,FEEDBACK
checking early termination penalties,CANCELLATION_FEE
help me seeing your reimbursement policy,REFUND
i want help to check the availabpe payment options,PAYMENT
i want assistance canceling a bloody purxhase,ORDER
want help to check the fucking compensation status,REFUND
i need assistance to shop some of ur item,ORDER
I need assustance trying to change my address,SHIPPING_ADDRESS
how could i notify of an error with payments,PAYMENT
i need help to buy an item,ORDER
I want help to demand a goddamn restitution of money,REFUND
can ya help me  cancelling purchase 370795561790,ORDER
can uhelp me correcting a purchase i have made,ORDER
help reporting a fucking error with payments,PAYMENT
I need help receiving bloody restituytions of my money,REFUND
can ya show me in what cases can i request a damn refund,REFUND
need to delete an item from order 113542617735902,ORDER
want assistance checkingwhat delivery options i can choose,DELIVERY
i have to see if there are any news on my compensation,REFUND
how to leave some damn feedback for ur services,FEEDBACK
want help submitting some bloody feedback about uur products,FEEDBACK
i have got to cancel an order i have made,ORDER
how could i maek a damn consumer claim,FEEDBACK
I'd like to set my shipping address up can i get some help,SHIPPING_ADDRESS
can ya help me swap severalitems of order 370795561790,ORDER
under what circumstances can i request to be reimbursed,REFUND
i want help checking what options for delivery i have,DELIVERY
can uhelp me inform of damn rpoblems with online payments,PAYMENT
i dont know how i could check thestatus of order 00123842,ORDER
under what circumstances can i request my fucking money back,REFUND
how to see how soon can i expect my goddamn article,DELIVERY
I would like to check when my item is going to arrive,DELIVERY
i want help checking my rebate current status,REFUND
will ushow me hows long the goddamn reimbursements take,REFUND
neeed to demand refunds,REFUND
how do i see the eta of order 370795561790,ORDER
I'd like to check in what cases can i request my money back,REFUND
how can i see what goddamn shipping options are available,DELIVERY
could I check what goddamn options for delivery I have?,DELIVERY
wanna get goddamn refunds,REFUND
help me check purchase 370795561790 current status,ORDER
need assistance to see my fucking restitution current status,REFUND
want help seeing ur bloody accepted payment options,PAYMENT
i cant pay where could i notify of a payment problem,PAYMENT
i want help to see purchase 00004587345 current status,ORDER
were could i send some damn feedback about a service,FEEDBACK
i cant afford this order help me cancelling it,ORDER
i want help to see what damn payment methods are available,PAYMENT
where could i see the goddamn status of my reimbursement,REFUND
I'd like to enter the goddamn shipping address how to do it,SHIPPING_ADDRESS
can ya help me to see the damn cancellation charge,CANCELLATION_FEE
where could i see the damn allowed payment options,PAYMENT
could you help me check the status of order 113542617735902?,ORDER
need help to cancel the last order I made,ORDER
I want help to submit bloody feedback about your services,FEEDBACK
where can i track the fucking reimbursement,REFUND
do ya have an e-mali to submit my feedback,FEEDBACK
I'm trying to make a consumer claim,FEEDBACK
wanna see the goddamn allowed payment options,PAYMENT
I'd like to check purchase 113542617735902 current status,ORDER
help to inform of a damn error with online payment,PAYMENT
can uhelp me to cancle the last order i have made,ORDER
I'd like to correct the address how could i do it,SHIPPING_ADDRESS
where do i notify of an issue with online payment,PAYMENT
problems with an dadress change,SHIPPING_ADDRESS
is it possible to acquire a goddamn item,ORDER
can you help me to set my fucking new delivery address up?,SHIPPING_ADDRESS
want assistance seeing how soon can I expect my purchase,DELIVERY
i want help earning several of ur item,ORDER
I am trying to file a claim against your organization,FEEDBACK
I'm trying to check the status  of the restitution,REFUND
can you show me what shipping methods you offer?,DELIVERY
what do i have to dp to lodge a reclamation,FEEDBACK
there are problems trying to correct my shipping address,SHIPPING_ADDRESS
wanna check what payment methods uaccept help me,PAYMENT
I am calling to see what shipping methods I have,DELIVERY
want assistznce to earn some fucking products,ORDER
want help to switch an item of order 113542617735902,ORDER
i want supports modifying the shipping address,SHIPPING_ADDRESS
i want assistance to check order 370795561790 status,ORDER
help to earn an item,ORDER
could you help me to see my fucking refund status?,REFUND
need help to request goddamn reimbursements of money,REFUND
where can I submit the new shipping address?,SHIPPING_ADDRESS
i cant check ru money back policy,REFUND
want help seeing the fucking status of my compensation,REFUND
help seeing the stayus of order 113542617735902,ORDER
need to check my reimbursementcurrent status will uhelp me,REFUND
how can i see when my delivery is gonna arrive,DELIVERY
I call to make a claim against your company,FEEDBACK
can you help me solving an error with payment?,PAYMENT
I have to  correct the shipping address,SHIPPING_ADDRESS
I want help lodging an bloody customer complaint,FEEDBACK
will ya show me how long it takes for the shipment to arrive,DELIVERY
I'd like to buy some fucking products help me,ORDER
how to see the ETA of order 113542617735902 ?,ORDER
i no longer want my last purchase,ORDER
i try to see in what cases can i ask for the damn refunds,REFUND
help to acxquire an item,ORDER
there are troubles trying to update my damn address,SHIPPING_ADDRESS
i need help demanding a rebat of money,REFUND
asistance receiving a bloody refund of money,REFUND
can ya show me the withdrawal penalteis,CANCELLATION_FEE
help me filing a bloody claim,FEEDBACK
I nerd to enter the goddamn delivery address,SHIPPING_ADDRESS
I need to inform of a damn isue with payment,PAYMENT
see ur fucking accepted payment methods,PAYMENT
i try to check in what cases can i ask for my money back,REFUND
i want assistance informing of problems with online payments,PAYMENT
how to see the eta of order 732201349959,ORDER
i do not know what to do to get a rebate,REFUND
i want supports changing my damn shipping address,SHIPPING_ADDRESS
can ya help me leave feedback for a product,FEEDBACK
can you help me seeing what payment methods are accepted?,PAYMENT
I have to enter my secondary shipping address,SHIPPING_ADDRESS
could i set up a damn secondary delivery address,SHIPPING_ADDRESS
need to check the ETA of the purcahse 113542617735902,ORDER
I'm calling to check what delivery options uoffer,DELIVERY
where do I sxubmit my fucking feedback about your products?,FEEDBACK
I have a question about cancelling purchase 00004587345,ORDER
need assistance to see the current status of the refund,REFUND
i try to check how long the damn reimbursements take,REFUND
need to see order 113542617735902 status how to do it,ORDER
how to cancel the damn purchase i have made,ORDER
I have got to submit an damn different shipping address,SHIPPING_ADDRESS
can ya help me leave a bloody review for a product,FEEDBACK
need help with cancelling the goddamn order i made,ORDER
i do not know how i could report issues with payments,PAYMENT
is there an address to send feedback for ur company,FEEDBACK
i cannot find anything about the early exit fees,CANCELLATION_FEE
can you help me modify my shipping address?,SHIPPING_ADDRESS
i do not know what to do to receive restitutions of money,REFUND
wanna check how soon can i expect my goddamn article help me,DELIVERY
want help modifyig my goddamn shipping address,SHIPPING_ADDRESS
I want assisgance submitting a new shipping address,SHIPPING_ADDRESS
have problems with canceling an order I made,ORDER
i have to check the damn compensation current status,REFUND
could uhelp me file a consumer complaint againwt ur company,FEEDBACK
need assistance to shop an item,ORDER
what do i need to do to purchaes several articles,ORDER
i dont know how i can receive damn refudns,REFUND
wanna check how soon can i expect my damn shipmnt,DELIVERY
how do i enter the bloody secondary delivery address,SHIPPING_ADDRESS
i have got to see my refund status will uhelp me,REFUND
is there a way to send my feedback about ur products,FEEDBACK
want help checking the damn ETA of purchase 732201349959,ORDER
i have to submit my feedback for ur company help me,FEEDBACK
i cannot make a payment i need to inform of errors,PAYMENT
I need assistancd to obtain a goddamn refund of money,REFUND
hpw could i update my delivery address,SHIPPING_ADDRESS
how to see  my goddamn restitution current status?,REFUND
how long till i receive my rebate of money,REFUND
how to submit damn feedback for a service,FEEDBACK
need help seeing if there are any news on the compensation,REFUND
wanna change order 00123842 how do i do it,ORDER
help me check yourdamn reimbursement policy,REFUND
i cannot afford the last item i purchased cancel the order,ORDER
how do i switch some products of purchase 113542617735902,ORDER
I cannot set the fucking secondaryshipping address up,SHIPPING_ADDRESS
I need assistance submitting a delivery address,SHIPPING_ADDRESS
have a question about canceling my purchases,ORDER
i cant pay for my last item how to cancel the purchase,ORDER
where could i see how soon can i expect my purchase,DELIVERY
I need help to check what delivery options are available,DELIVERY
I want supports modifying my shipping addtess,SHIPPING_ADDRESS
"I need to modify my hsipping address, can you help me?",SHIPPING_ADDRESS
needf help to set the shipping address up,SHIPPING_ADDRESS
need to check the status of order 00004587345,ORDER
can ya help me to see the withdrawal fees,CANCELLATION_FEE
need help checking how long the shipment takes,DELIVERY
where can i check what  fucking options for delivery i have,DELIVERY
wanna ask for a restitution of my money,REFUND
I want to set a secondary delivery addeess up,SHIPPING_ADDRESS
how to see the allowed paymenty options?,PAYMENT
howcould i set up my fucking shipping address,SHIPPING_ADDRESS
I try to see in what cases can I request refunds,REFUND
i dont know how i could chek the bloody cancellation penalty,CANCELLATION_FEE
could you help me correcting my goddamn delivery address?,SHIPPING_ADDRESS
is it possible to ser purchase 732201349959 current status,ORDER
where to see the currnet status of the compensation,REFUND
I want help to file a consumer claim against your company,FEEDBACK
i need assistance to see ur damn money back guarantee,REFUND
need help to make a consumer claim against ur business,FEEDBACK
i have issues setting up my fucking shipping address,SHIPPING_ADDRESS
i do not know how i could set up thw damn delivery address,SHIPPING_ADDRESS
i do not know how to see ur accepted payment modalities,PAYMENT
want help checking what shipment methods i have,DELIVERY
want assistance to request a restitution of my money,REFUND
how to leave a review for your services?,FEEDBACK
I don't know what I have to do to buy several of your item,ORDER
wanna update my shippig address,SHIPPING_ADDRESS
i do not know what i need to do to shop some damn articles,ORDER
could you help me see how long reimbursements usually take?,REFUND
I want help eseing when my fucking order is going to arrive,DELIVERY
I would like to make a goddamn claim against your company,FEEDBACK
need help checking how soon can I expect my damn order,DELIVERY
i have an issue trying to edit my delivery address,SHIPPING_ADDRESS
i do not know how to check the damn termination penalty,CANCELLATION_FEE
i dont know how i can logde a bloody complaint,FEEDBACK
is it possible to check what shipment methods you offe?,DELIVERY
how could i check the early exit penalty,CANCELLATION_FEE
can i delete several fucking items from order 00004587345,ORDER
the payment failed could ya help me informing of issues,PAYMENT
could ya help me tracking my refund,REFUND
how do i swap something of order 370795561790,ORDER
is it possible to leave an opinion ?,FEEDBACK
want help to cancel a fucking order I have made,ORDER
assistance ti see the early exit fees,CANCELLATION_FEE
i need help filing a claim against ur organization,FEEDBACK
I try to see how soon can I expect the item,DELIVERY
I need help checking the cancellation fees,CANCELLATION_FEE
wanna shop a damn item how could i do it,ORDER
can iplace an order from Philadelphia,DELIVERY
can ya help me check the rebate current status,REFUND
i want assistance to earn several bloody articles,ORDER
"I have got to seethe allowed payment options, I need help",PAYMENT
can uhelp me requesting a bloody refund of my money,REFUND
I have got to see in what siituations can I request refunds,REFUND
how much will ucharge me if i break the contract,CANCELLATION_FEE
how do I list your available payment modalities?,PAYMENT
have a problem with camceling order 00123842,ORDER
my experience with ur service was bad help me making a claim,FEEDBACK
i try to cancel the last purchase,ORDER
I have to see if there are any updates on the restitution,REFUND
need assistance to submit my feedback for your company,FEEDBACK
where to make a claim against ur business,FEEDBACK
i need help to lodge a fucking complaint,FEEDBACK
i want assistance checking the cancellation fees,CANCELLATION_FEE
i paid $299 for this purchase need help to get a refund,REFUND
i do not know how i could cancel my last order,ORDER
i want help to see what shipment methods i have,DELIVERY
need assistance to submit feedback about ur products,FEEDBACK
can I place a damn order from Canada?,DELIVERY
i have to leave a damn comment for ur company i need help,FEEDBACK
show me the bloody cancellation fees,CANCELLATION_FEE
can ya help me lodginga claim,FEEDBACK
I'm waiting for a bloody compnesation of $350,REFUND
want help to check my reimbursement status,REFUND
i want help to shop several goddamn articles,ORDER
I have too cancel purchase 00123842,ORDER
i do not know what i have to do to cancel an order,ORDER
could you help me to submit a different delivery address?,SHIPPING_ADDRESS
wanna see the early termination fee i need assistance,CANCELLATION_FEE
assistance with cancelling order 732201349959,ORDER
how do i report bloody troubles with payment,PAYMENT
I want to notify  of a fucking payment problem,PAYMENT
problem setting up a fucking secondary shipping address,SHIPPING_ADDRESS
need assistance to see the withdrawal penalty,CANCELLATION_FEE
I call to file a customer complaint,FEEDBACK
I need hel to receive a reimbursement of my money,REFUND
show me how soon  can i expect the parcel,DELIVERY
help me entering a damn secondary shipping adrdess,SHIPPING_ADDRESS
could uhelp me to know if there is anything new on my rebate,REFUND
how to swap several items of order 113542617735902?,ORDER
refundxing $1200,REFUND
how to report a payment issue?,PAYMENT
I have errors changing my address,SHIPPING_ADDRESS
i want assistance to see how soon can i expect my purchase,DELIVERY
how do i check how long the shipping takes,DELIVERY
do ya have an address to submit a damn opinion,FEEDBACK
assistance seeing the goddamn allowed payment options,PAYMENT
where do i submit some fucking feedback about a product,FEEDBACK
where can i report a fucking issue with online payment,PAYMENT
i have got to notify of a bloody problem with payments,PAYMENT
could uhelp me see whatdamn shipment methods are there,DELIVERY
could I remove osme damn items from order 370795561790?,ORDER
i do not know what to do to obtain compensations of my money,REFUND
need assistance to purchase several items,ORDER
i have a question about cancelling purchase 00004587345,ORDER
i dont know how to check the bloody early exit charges,CANCELLATION_FEE
i need help to check how long the shipent takes,DELIVERY
could uhelp me to list the goddamn allowed payment methods,PAYMENT
need to check what delivery options are available,DELIVERY
I do not know how I could check the bloody cancellation fee,CANCELLATION_FEE
I do not know hhow I can list the payment methods,PAYMENT
the bloody deloivery address is not valid could ya help me,SHIPPING_ADDRESS
I have got to obtain compensations,REFUND
need tocheck in what cases can i request a reimbursement,REFUND
can i se how long it usually takes for my item to arrive,DELIVERY
i have an problem with the shipping options,DELIVERY
how do i file a complaint against ur organization,FEEDBACK
i need help with canceling the last damn order i made,ORDER
i have bought something i want help canceling order 00123842,ORDER
need assistance seeing the status of the refund,REFUND
i have to check my reimbursement status how do i do it,REFUND
want assistance to write an opinion for ur services,FEEDBACK
"I am not happy with your work, need help making a complaint",FEEDBACK
need help notifying of problems with payment,PAYMENT
see purchase 00004587345 fucking status,ORDER
i need information about  editing the shipping address,SHIPPING_ADDRESS
I'd like to notify of a payment problem,PAYMENT
issues submitting myu bloody new shipping address,SHIPPING_ADDRESS
assistance to shop several of ur item,ORDER
help to shop some  products,ORDER
i have to check the damn withdrawal charge,CANCELLATION_FEE
what goddamn payment methods dco you accept?,PAYMENT
help me to request fucking refudns of money,REFUND
could i see how long it takes for my item to arrive,DELIVERY
will you tell me the fucking payment modalities?,PAYMENT
I wanthelp cancelling order 370795561790,ORDER
help med sending fucking feedback for your company,FEEDBACK
I have a error correcting my shipping address,SHIPPING_ADDRESS
i want help to report errors with payments,PAYMENT
i have got to chedck the bloody ETA of order 00123842,ORDER
i need help to cancel purchase 732201349959,ORDER
could i see in what cases can i ask for a refund,REFUND
can ya show me how soon can i expect the article,DELIVERY
i no longer want my last fucking order i wanna cancel it,ORDER
see in what cases can i ask for reimbursements,REFUND
can you help me requesting reimbursements of money?,REFUND
wanna enter a delivery address how can i do it,SHIPPING_ADDRESS
i do not know what i have to do to get fucking rebates,REFUND
where do i make a reclamation against ur organization,FEEDBACK
could ya help me see order 00123842 bloody status,ORDER
need help to see when will my parcel arrive,DELIVERY
wanna shop several of ur product i need assistance,ORDER
can you help me checking the earlt termination charge?,CANCELLATION_FEE
i need help seeing in what cases can i request my moneyback,REFUND
i do not know how to file a damn customer complaint,FEEDBACK
i want help to ese the fucking ETA of the purchase 00123842,ORDER
i dont know how i can inform of a error with online payments,PAYMENT
I need to make a damn consumer claim against your business,FEEDBACK
i paid $299 for these items where can i get a rebate,REFUND
i paid $299 for this purchase how can i get a reimbursement,REFUND
i need help to purchase several of ur article,ORDER
need helpseeing your fucking payment methods,PAYMENT
want supports trying to update the address,SHIPPING_ADDRESS
i cannot switch several products of purchase 00004587345,ORDER
I can't ese the current status of order 00004587345,ORDER
could you tell me about a bloody address modification?,SHIPPING_ADDRESS
i cant find anything about the cancellation fee,CANCELLATION_FEE
need to submit the goddamn shipping address,SHIPPING_ADDRESS
help me to see how long it takes for the order to areive,DELIVERY
could I check in which situations can I request a refund?,REFUND
could ya show me order 00004587345 status,ORDER
i have to check if there is anything new on my restitution,REFUND
i have to write a review for a service could ya help me,FEEDBACK
assitsance checking the damn ETA of purchase 00123842,ORDER
can you help  me see my rebate status?,REFUND
i dont know how i can check what shipping methods are there,DELIVERY
how could i see what goddamn delivery options i can choose,DELIVERY
where do i check what methods for delivery i can choose,DELIVERY
problem with the methods for deivery,DELIVERY
how do i demand fucking refunds of my money,REFUND
i have got to check how long it takes for my item to arrive,DELIVERY
want assistance to add several items to order 00004587345,ORDER
i dont know what i need to do to check ur damn refund policy,REFUND
wanna see the early termination fee could ya help me,CANCELLATION_FEE
i need help checking what goddamn shipment methods i have,DELIVERY
i have to see the goddamn shipping options could uhelp me,DELIVERY
I'd like to check in which cases can i request a refund,REFUND
how could i send my feedback for a product,FEEDBACK
see in which situations can I ask for reimbursements,REFUND
could I see the damn available payment optipns?,PAYMENT
can icheck the eta of purchase 00004587345,ORDER
wanna switch several articles of order 00004587345,ORDER
how to see the ETA of order 113542617735902,ORDER
I'd like to see if there are any news on my reimbursement,REFUND
can you help me to check the early exit penalty?,CANCELLATION_FEE
is it possible to check the early termination fees,CANCELLATION_FEE
can i set up a delivery address,SHIPPING_ADDRESS
can i place a bloody order from Mexico,DELIVERY
i dont know how i can ask for restitutions of my money,REFUND
can ya help me inform of a problem with payment,PAYMENT
where to sew how soon can i expect my goddamn order,DELIVERY
can i see the damn current status of order 00004587345,ORDER
what is ur bloody money back policy,REFUND
wanna modify order 732201349959,ORDER
I try to switchsome products of order 370795561790,ORDER
check cureent status of order 00004587345,ORDER
I don't know how to see the goddamn allowed payment mehods,PAYMENT
I entered a wrong address,SHIPPING_ADDRESS
need to see the rebate status could ya hel me,REFUND
I want helpsending my goddamn feedback,FEEDBACK
need to check how soon can i expect my damn package help me,DELIVERY
how could i check purchase 113542617735902 bloody status,ORDER
where can i check what bloody payment options are allowed,PAYMENT
assistance canceling the last order i made,ORDER
need help modifying purchase 113542617735902,ORDER
can uhelp me track order 00004587345,ORDER
i dont know how to lodge a fucking claim against ur company,FEEDBACK
can uhelp me lodge a complaint against ur company,FEEDBACK
